Website Data Type,Website Data,Source
Adwords Cost,,Competitor 3
Adwords Keywords,,Competitor 3
Adwords Traffic,,Competitor 3
Average Visit Duration,0.0,Competitor 3
Bounce Rate,0.9999999999999998,Competitor 3
Category Rank,1.0,Competitor 3
Direct,0.26496408619313616,Competitor 3
Display,1.0,Competitor 3
Mail,0.5494880546075085,Competitor 3
Number of Keywords 1-3,,Competitor 3
Number of Keywords 3-10,,Competitor 3
Organic Cost,,Competitor 3
Organic Keywords,,Competitor 3
Organic Keywords Percentage,1.0,Competitor 3
Organic Search,0.6571767497034402,Competitor 3
Organic Traffic,,Competitor 3
PLA Keywords,,Competitor 3
PLA Uniques,,Competitor 3
Pages per Visit,0.0,Competitor 3
Paid Keywords Percentage,1.0,Competitor 3
Paid Search,1.0,Competitor 3
Rank,,Competitor 3
Referrals,0.3016194331983808,Competitor 3
SERP Features Positions,,Competitor 3
SERP Features Positions Branded,,Competitor 3
SERP Features Traffic,,Competitor 3
Social,0.09764918625678119,Competitor 3
Total Keywords #5,0.23322683706070288,Competitor 3
Total Visits,0.0,Competitor 3
