Website Data Type,Website Data,Source
Adwords Cost,0.0,Competitor 5
Adwords Keywords,0.0,Competitor 5
Adwords Traffic,0.0,Competitor 5
Average Visit Duration,0.49579831932773105,Competitor 5
Bounce Rate,0.2703962703962705,Competitor 5
Category Rank,0.08676789587852496,Competitor 5
Direct,0.021548284118116712,Competitor 5
Display,0.0,Competitor 5
Mail,0.15358361774744028,Competitor 5
Number of Keywords 1-3,0.07157676348547719,Competitor 5
Number of Keywords 3-10,0.5432584269662921,Competitor 5
Organic Cost,0.9926282441817961,Competitor 5
Organic Keywords,1.0,Competitor 5
Organic Keywords Percentage,1.0,Competitor 5
Organic Search,0.9430604982206408,Competitor 5
Organic Traffic,1.0,Competitor 5
PLA Keywords,0.0,Competitor 5
PLA Uniques,0.0,Competitor 5
Pages per Visit,0.28251748251748243,Competitor 5
Paid Keywords Percentage,0.0,Competitor 5
Paid Search,0.0,Competitor 5
Rank,0.0,Competitor 5
Referrals,0.6356275303643724,Competitor 5
SERP Features Positions,0.6463620981387479,Competitor 5
SERP Features Positions Branded,,Competitor 5
SERP Features Traffic,,Competitor 5
Social,0.1772151898734177,Competitor 5
Total Keywords #5,1.0,Competitor 5
Total Visits,0.9968632371392722,Competitor 5
