Website Data Type,Website Data,SemRush API Data Type: Competitor_2,SemRush API Data: Competitor_2
Website Panel,,Database,fr
Company Name,utbm.fr,Domain,utbm.fr
Category Name,Science and Education Education,Date,20230823
Category Rank,320,Rank,16396
Total Visits,171.5K,Organic Keywords,6497
Bounce Rate,22.34%,Organic Traffic,25939
Pages per Visit,5.48,Organic Cost,671
Average Visit Duration,00:04:20,Adwords Keywords,0
Keywords Panel: Competitor_2,,Adwords Traffic,0
Total Keywords #5,440,Adwords Cost,0
Organic Keywords Percentage,100.0%,PLA Keywords,0
Paid Keywords Percentage,0.00%,PLA Uniques,0
Marketing Channel Distribution Panel: Competitor_2,,SERP Features Positions,76
Direct,61.17%,SERP Features Positions Branded,
Referrals,24.88%,SERP Features Traffic,
Organic Search,10.17%,Number of Keywords 1-3,73
Paid Search,1.44%,Number of Keywords 3-10,193
Social,0.00%,,
Mail,2.34%,,
Display,0.00%,,
